id,name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
74,Diamond Bar,Los Angeles County,CA,California,City,34.02862,-117.81034,909,56897,17656,89221,38539601,13084,America/Los Angeles
75,Downey,Los Angeles County,CA,California,City,33.94001,-118.13257,562,114219,32738,62897,32136795,414376,America/Los Angeles
76,Dublin,Alameda County,CA,California,City,37.70215,-121.93579,925,57721,17321,118773,39453265,0,America/Los Angeles
77,East Los Angeles,Los Angeles County,CA,California,CDP,34.0239,-118.17202,323,127610,31400,38766,19298247,11013,America/Los Angeles
78,Eastvale,Riverside County,CA,California,City,33.96358,-117.56418,951,59039,13189,110927,32797626,1164576,America/Los Angeles
79,El Cajon,San Diego County,CA,California,City,32.79477,-116.96253,619,103679,32564,45925,37516310,0,America/Los Angeles
80,Elk Grove,Sacramento County,CA,California,City,38.4088,-121.37162,916,166913,49316,79487,109287233,120267,America/Los Angeles
81,El Monte,Los Angeles County,CA,California,City,34.06862,-118.02757,626,116732,30752,38085,24766390,221652,America/Los Angeles
82,Encinitas,San Diego County,CA,California,City,33.03699,-117.29198,760,62930,23465,95149,48722319,3050086,America/Los Angeles
83,Escondido,San Diego County,CA,California,City,33.11921,-117.08642,760,151451,45041,50899,96015101,455887,America/Los Angeles
84,Fairfield,Solano County,CA,California,City,38.24936,-122.03997,707,112970,34623,67364,105971964,696390,America/Los Angeles
85,Florence-Graham,Los Angeles County,CA,California,CDP,33.96816,-118.24467,323,62815,14373,33934,9089173,0,America/Los Angeles
86,Florin,Sacramento County,CA,California,CDP,38.49602,-121.40884,530,50791,15247,39998,22545947,0,America/Los Angeles
87,Folsom,Sacramento County,CA,California,City,38.67796,-121.17606,916,76375,25879,100978,71762273,6107694,America/Los Angeles
88,Fontana,San Bernardino County,CA,California,City,34.09223,-117.43505,909,207460,49975,64824,111418803,0,America/Los Angeles
89,Fountain Valley,Orange County,CA,California,City,33.70918,-117.95367,657,56987,18842,82367,23497244,33638,America/Los Angeles
90,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,510,232206,72684,105355,200632984,26291597,America/Los Angeles
91,Fresno,Fresno County,CA,California,City,36.74773,-119.77237,559,520052,161914,41531,296267437,732167,America/Los Angeles
92,Fullerton,Orange County,CA,California,City,33.87029,-117.92534,657,140847,45031,65974,58100816,28063,America/Los Angeles
93,Gardena,Los Angeles County,CA,California,City,33.88835,-118.30896,424,60447,20897,47674,15097442,93629,America/Los Angeles
94,Garden Grove,Orange County,CA,California,City,33.77391,-117.94145,657,175393,46998,58449,46508935,45894,America/Los Angeles
95,Gilroy,Santa Clara County,CA,California,City,37.00578,-121.56828,408,53231,14989,83027,41808104,26658,America/Los Angeles
96,Glendale,Los Angeles County,CA,California,City,34.14251,-118.25508,818,201020,71498,52574,78818661,337115,America/Los Angeles
97,Glendora,Los Angeles County,CA,California,City,34.13612,-117.86534,626,52009,16722,75148,50251851,403066,America/Los Angeles
98,Hacienda Heights,Los Angeles County,CA,California,CDP,33.99307,-117.96868,626,55179,16020,78039,28957966,18431,America/Los Angeles
99,Hanford,Kings County,CA,California,City,36.32745,-119.64568,559,55659,17414,53986,43521432,0,America/Los Angeles
100,Hawthorne,Los Angeles County,CA,California,City,33.9164,-118.35257,424,88451,29159,44504,15750339,28946,America/Los Angeles
101,Hayward,Alameda County,CA,California,City,37.66882,-122.0808,510,158289,46713,65096,117943767,47363956,America/Los Angeles
102,Hemet,Riverside County,CA,California,City,33.74752,-116.97197,951,83861,29909,33989,71851072,0,America/Los Angeles
103,Hesperia,San Bernardino County,CA,California,City,34.42639,-117.30088,760,93295,26253,44874,189317184,293823,America/Los Angeles
104,Highland,San Bernardino County,CA,California,City,34.12834,-117.20865,909,54854,15289,53851,48574930,348871,America/Los Angeles
105,Huntington Beach,Orange County,CA,California,City,33.6603,-117.99923,657,201899,74460,83252,69762694,13438927,America/Los Angeles
106,Huntington Park,Los Angeles County,CA,California,City,33.98168,-118.22507,323,59430,14559,34887,7802459,8354,America/Los Angeles
107,Indio,Riverside County,CA,California,City,33.72058,-116.21556,760,87533,26144,50525,86057044,20661,America/Los Angeles
108,Inglewood,Los Angeles County,CA,California,City,33.96168,-118.35313,424,111666,36667,42044,23485845,63502,America/Los Angeles
109,Irvine,Orange County,CA,California,City,33.66946,-117.82311,949,256927,87235,92278,169856564,885912,America/Los Angeles
110,Jurupa Valley,Riverside County,CA,California,City,34.00259,-117.46761,951,100314,24839,57749,111216400,1914744,America/Los Angeles
111,Laguna Niguel,Orange County,CA,California,City,33.52253,-117.70755,949,65806,24877,95536,38178711,133550,America/Los Angeles
112,La Habra,Orange County,CA,California,City,33.93196,-117.94617,562,62131,18830,63037,19046431,15869,America/Los Angeles
113,Lake Elsinore,Riverside County,CA,California,City,33.66808,-117.32726,951,61981,15462,61248,98470406,14031927,America/Los Angeles
114,Lake Forest,Orange County,CA,California,City,33.64697,-117.68922,949,82492,27044,91254,43081766,198785,America/Los Angeles
115,Lakewood,Los Angeles County,CA,California,City,33.85363,-118.13396,562,81611,26083,79193,24394508,133056,America/Los Angeles
116,La Mesa,San Diego County,CA,California,City,32.76778,-117.02306,619,60089,23785,54667,23552227,28934,America/Los Angeles
117,Lancaster,Los Angeles County,CA,California,City,34.69804,-118.13674,661,161103,47427,47225,244230402,681671,America/Los Angeles
118,Livermore,Alameda County,CA,California,City,37.68187,-121.76801,925,88126,30182,100992,69725238,9862,America/Los Angeles
119,Lodi,San Joaquin County,CA,California,City,38.1302,-121.27245,209,64596,22423,49316,35406139,553120,America/Los Angeles
120,Long Beach,Los Angeles County,CA,California,City,33.76696,-118.18923,562,474140,164406,52783,130317967,3004950,America/Los Angeles
121,Los Angeles,Los Angeles County,CA,California,City,34.05223,-118.24368,213,3971883,1342761,50205,1214027148,88124562,America/Los Angeles
122,Lynwood,Los Angeles County,CA,California,City,33.93029,-118.21146,424,71989,15132,43109,12535643,0,America/Los Angeles
123,Madera,Madera County,CA,California,City,36.96134,-120.06072,559,64208,16791,40457,40893995,0,America/Los Angeles
124,Manteca,San Joaquin County,CA,California,City,37.79743,-121.21605,209,75448,22639,62364,53215594,61889,America/Los Angeles
125,Menifee,Riverside County,CA,California,City,33.72835,-117.14642,951,87174,27524,55985,120362837,388769,America/Los Angeles
126,Merced,Merced County,CA,California,City,37.30216,-120.48297,209,82436,25330,37627,60156228,0,America/Los Angeles
127,Milpitas,Santa Clara County,CA,California,City,37.42827,-121.90662,408,77604,20792,100242,35174793,99377,America/Los Angeles
128,Mission Viejo,Orange County,CA,California,City,33.60002,-117.672,949,97156,33483,100366,45837210,968033,America/Los Angeles
129,Modesto,Stanislaus County,CA,California,City,37.6391,-120.99688,209,211266,70481,48577,111285594,4760783,America/Los Angeles
130,Montebello,Los Angeles County,CA,California,City,34.00944,-118.10528,323,63921,19816,45875,21579670,104151,America/Los Angeles
131,Monterey Park,Los Angeles County,CA,California,City,34.06251,-118.12285,626,61468,19106,54097,19864150,155186,America/Los Angeles
132,Moreno Valley,Riverside County,CA,California,City,33.93752,-117.23059,951,204198,51693,54590,132800801,504194,America/Los Angeles
133,Mountain View,Santa Clara County,CA,California,City,37.38605,-122.08385,650,80435,32714,103488,31062820,719721,America/Los Angeles
134,Murrieta,Riverside County,CA,California,City,33.55391,-117.21392,951,109830,32685,74610,87023902,93770,America/Los Angeles
135,Napa,Napa County,CA,California,City,38.29714,-122.28553,707,80434,28356,68038,46008744,735220,America/Los Angeles
136,National City,San Diego County,CA,California,City,32.67806,-117.09917,619,61060,15332,41437,18853103,4761839,America/Los Angeles
137,Newport Beach,Orange County,CA,California,City,33.61891,-117.92895,949,87127,38071,113071,61590553,75554228,America/Los Angeles
138,Norwalk,Los Angeles County,CA,California,City,33.90224,-118.08173,562,107140,27225,59756,25145023,101802,America/Los Angeles
139,Novato,Marin County,CA,California,City,38.10742,-122.5697,415,55530,21403,78439,71077498,1340565,America/Los Angeles
140,Oakland,Alameda County,CA,California,City,37.80437,-122.2708,510,419267,158424,54618,144762241,56897826,America/Los Angeles
141,Oceanside,San Diego County,CA,California,City,33.19587,-117.37948,760,175691,60493,57703,106841893,2392242,America/Los Angeles
142,Ontario,San Bernardino County,CA,California,City,34.06334,-117.65089,909,171214,47375,54114,129329742,159101,America/Los Angeles
143,Orange,Orange County,CA,California,City,33.78779,-117.85311,657,140992,42680,78513,65677897,1134748,America/Los Angeles
144,Oxnard,Ventura County,CA,California,City,34.1975,-119.17705,805,207254,50815,60621,69672461,31875278,America/Los Angeles
145,Palmdale,Los Angeles County,CA,California,City,34.57943,-118.11646,661,158351,42720,52392,274452754,633935,America/Los Angeles
146,Palm Desert,Riverside County,CA,California,City,33.72224,-116.37446,760,51869,23925,52892,69446779,528739,America/Los Angeles
147,Palo Alto,Santa Clara County,CA,California,City,37.44188,-122.14302,650,66853,26087,136519,61810463,4940290,America/Los Angeles
148,Paramount,Los Angeles County,CA,California,City,33.88946,-118.15979,562,55412,13844,45792,12248385,286383,America/Los Angeles
149,Pasadena,Los Angeles County,CA,California,City,34.14778,-118.14452,626,142250,54536,72402,59524677,377058,America/Los Angeles
150,Perris,Riverside County,CA,California,City,33.78252,-117.22865,951,74971,16297,49325,81742547,284236,America/Los Angeles
151,Petaluma,Sonoma County,CA,California,City,38.23242,-122.63665,707,60438,21616,80276,37250003,277684,America/Los Angeles
152,Pico Rivera,Los Angeles County,CA,California,City,33.98307,-118.09674,562,64218,16606,55752,21485451,1518018,America/Los Angeles
153,Pittsburg,Contra Costa County,CA,California,City,38.02798,-121.88468,925,69424,20180,60777,44518679,5074288,America/Los Angeles
154,Placentia,Orange County,CA,California,City,33.87224,-117.87034,657,52495,16050,79598,17129354,37381,America/Los Angeles
155,Pleasanton,Alameda County,CA,California,City,37.66243,-121.87468,925,79510,26020,124759,62489257,386195,America/Los Angeles
156,Pomona,Los Angeles County,CA,California,City,34.05529,-117.75228,909,153266,39378,49186,59446734,26188,America/Los Angeles
157,Porterville,Tulare County,CA,California,City,36.06523,-119.01677,559,56058,15821,38456,48156793,60581,America/Los Angeles
158,Poway,San Diego County,CA,California,City,32.96282,-117.03586,858,50157,15832,95815,101214289,223435,America/Los Angeles
159,Rancho Cordova,Sacramento County,CA,California,City,38.58907,-121.30273,530,71017,24063,52530,90270322,951439,America/Los Angeles
160,Rancho Cucamonga,San Bernardino County,CA,California,City,34.1064,-117.59311,909,175236,55240,77396,103562370,24723,America/Los Angeles
161,Redding,Shasta County,CA,California,City,40.58654,-122.39168,530,91582,35436,43341,154485022,3957246,America/Los Angeles
162,Redlands,San Bernardino County,CA,California,City,34.05557,-117.18254,909,71035,24157,65212,93321052,779122,America/Los Angeles
163,Redondo Beach,Los Angeles County,CA,California,City,33.84918,-118.38841,424,68166,27733,105145,16053735,26297,America/Los Angeles
164,Redwood City,San Mateo County,CA,California,City,37.48522,-122.23635,650,85288,29049,84934,49976893,39824467,America/Los Angeles
165,Rialto,San Bernardino County,CA,California,City,34.1064,-117.37032,909,103132,25199,50971,57824783,36883,America/Los Angeles
166,Richmond,Contra Costa County,CA,California,City,37.93576,-122.34775,510,109708,36973,55102,77834895,58171749,America/Los Angeles
167,Riverside,Riverside County,CA,California,City,33.95333,-117.39611,951,322424,91267,57196,210379895,801713,America/Los Angeles
168,Rocklin,Placer County,CA,California,City,38.79073,-121.23578,916,61213,21208,80177,50620710,138528,America/Los Angeles
169,Rosemead,Los Angeles County,CA,California,City,34.08057,-118.07285,626,54908,14768,44906,13370145,35465,America/Los Angeles
170,Roseville,Placer County,CA,California,City,38.75212,-121.28801,916,130269,46547,75867,111337848,3366,America/Los Angeles
171,Rowland Heights,Los Angeles County,CA,California,CDP,33.97612,-117.90534,626,51597,14617,59534,33863884,14576,America/Los Angeles
172,Sacramento,Sacramento County,CA,California,City,38.58157,-121.4944,530,490712,178185,50739,253621861,5651667,America/Los Angeles
173,Salinas,Monterey County,CA,California,City,36.67774,-121.6555,831,157380,40892,49840,61150707,98696,America/Los Angeles
174,San Bernardino,San Bernardino County,CA,California,City,34.10834,-117.28977,909,216108,57580,37047,159326695,1126214,America/Los Angeles
175,San Buenaventura (Ventura),Ventura County,CA,California,City,34.26778,-119.25421,805,109708,41029,66995,56500370,27033715,America/Los Angeles
176,San Clemente,Orange County,CA,California,City,33.42697,-117.61199,949,65526,24069,98153,47542284,1965336,America/Los Angeles
177,San Diego,San Diego County,CA,California,City,32.71533,-117.15726,619,1394928,485091,66116,842252395,122244773,America/Los Angeles
178,San Francisco,San Francisco County,CA,California,City,37.775,-122.41944,415,864816,353287,81294,121455687,479136515,America/Los Angeles
179,San Jose,Santa Clara County,CA,California,City,37.33939,-121.89496,408,1026908,314297,84647,459749746,7803332,America/Los Angeles
180,San Leandro,Alameda County,CA,California,City,37.72493,-122.15608,510,90712,31363,62761,34568437,5679338,America/Los Angeles
181,San Marcos,San Diego County,CA,California,City,33.14337,-117.16614,760,92931,28738,57822,63105425,52493,America/Los Angeles
182,San Mateo,San Mateo County,CA,California,City,37.56299,-122.32553,650,103536,37861,90208,31415730,9721639,America/Los Angeles
183,San Rafael,Marin County,CA,California,City,37.97361,-122.53111,415,59162,22826,77294,42908410,15409794,America/Los Angeles
184,San Ramon,Contra Costa County,CA,California,City,37.77993,-121.97802,925,76134,25265,128916,48244969,41682,America/Los Angeles
185,Santa Ana,Orange County,CA,California,City,33.74557,-117.86783,949,335400,74757,52253,70306781,638460,America/Los Angeles
186,Santa Barbara,Santa Barbara County,CA,California,City,34.42083,-119.69819,805,91842,34973,66107,50478061,58275323,America/Los Angeles
187,Santa Clara,Santa Clara County,CA,California,City,37.35411,-121.95524,408,126215,43433,98914,47678886,0,America/Los Angeles
188,Santa Clarita,Los Angeles County,CA,California,City,34.39166,-118.54259,661,182371,59247,83554,136645644,131952,America/Los Angeles
189,Santa Cruz,Santa Cruz County,CA,California,City,36.97412,-122.0308,831,64220,21516,62164,32997148,7998546,America/Los Angeles
190,Santa Maria,Santa Barbara County,CA,California,City,34.95303,-120.43572,805,105093,27365,50433,59005328,1648788,America/Los Angeles
191,Santa Monica,Los Angeles County,CA,California,City,34.01945,-118.49119,424,93220,46688,76580,21795228,3025,America/Los Angeles
192,Santa Rosa,Sonoma County,CA,California,City,38.44047,-122.71443,707,174972,64088,61050,106947059,531185,America/Los Angeles
193,Santee,San Diego County,CA,California,City,32.83838,-116.97392,619,57787,19364,76104,42058355,758838,America/Los Angeles
194,Simi Valley,Ventura County,CA,California,City,34.26945,-118.78148,805,126788,41972,90210,107421127,1984799,America/Los Angeles
195,South Gate,Los Angeles County,CA,California,City,33.95474,-118.21202,323,96401,23398,43552,18741686,302705,America/Los Angeles
196,South San Francisco,San Mateo County,CA,California,City,37.65472,-122.40778,650,67271,21136,81439,23769810,54435146,America/Los Angeles
197,South Whittier,Los Angeles County,CA,California,CDP,33.96085,-118.04173,562,58328,15153,62592,13823380,22187,America/Los Angeles
198,Stockton,San Joaquin County,CA,California,City,37.9577,-121.29078,209,305658,92440,44797,159717213,7984586,America/Los Angeles
199,Sunnyvale,Santa Clara County,CA,California,City,37.36883,-122.03635,408,151754,55094,105401,56936612,1817655,America/Los Angeles
200,Temecula,Riverside County,CA,California,City,33.49364,-117.14836,951,112011,32835,79925,96518165,30591,America/Los Angeles
201,Thousand Oaks,Ventura County,CA,California,City,34.17056,-118.8375,805,129339,45912,100946,142919822,387875,America/Los Angeles
202,Torrance,Los Angeles County,CA,California,City,33.83585,-118.34063,424,148475,55377,79549,53038407,194217,America/Los Angeles
203,Tracy,San Joaquin County,CA,California,City,37.73965,-121.42522,209,87075,24344,76310,57348808,352292,America/Los Angeles
204,Tulare,Tulare County,CA,California,City,36.20773,-119.34734,559,62315,18295,46659,52770665,197822,America/Los Angeles
205,Turlock,Stanislaus County,CA,California,City,37.49466,-120.84659,209,72292,23983,51401,43830795,69528,America/Los Angeles
206,Tustin,Orange County,CA,California,City,33.74585,-117.82617,949,80583,25340,71897,28777001,0,America/Los Angeles
207,Union City,Alameda County,CA,California,City,37.59583,-122.01917,510,74494,20461,85521,50244982,0,America/Los Angeles
208,Upland,San Bernardino County,CA,California,City,34.09751,-117.64839,909,76443,27070,60779,40460527,86983,America/Los Angeles
209,Vacaville,Solano County,CA,California,City,38.35658,-121.98774,707,96803,31798,74001,74615969,541215,America/Los Angeles
210,Vallejo,Solano County,CA,California,City,38.10409,-122.25664,707,121253,41216,57028,79438815,48871171,America/Los Angeles
211,Victorville,San Bernardino County,CA,California,City,34.53611,-117.29116,760,122225,31886,45894,189919736,1459026,America/Los Angeles
212,Visalia,Tulare County,CA,California,City,36.33023,-119.29206,559,130104,41730,52157,97057436,51434,America/Los Angeles
213,Vista,San Diego County,CA,California,City,33.20004,-117.24254,760,100890,30451,50601,48380231,0,America/Los Angeles
214,Walnut Creek,Contra Costa County,CA,California,City,37.90631,-122.06496,925,68910,30317,82120,51175071,31195,America/Los Angeles
215,Watsonville,Santa Cruz County,CA,California,City,36.91023,-121.75689,831,53628,14216,46018,17320714,249705,America/Los Angeles
216,West Covina,Los Angeles County,CA,California,City,34.06862,-117.93895,626,108484,30816,69189,41546642,124507,America/Los Angeles
217,Westminster,Orange County,CA,California,City,33.75918,-118.00673,657,92114,27309,53455,26008638,0,America/Los Angeles
218,West Sacramento,Yolo County,CA,California,City,38.58046,-121.53023,530,52721,17930,52763,55673946,3495787,America/Los Angeles
219,Whittier,Los Angeles County,CA,California,City,33.97918,-118.03284,562,87438,27525,66457,37940391,40476,America/Los Angeles
220,Woodland,Yolo County,CA,California,City,38.67852,-121.7733,530,58567,19547,55893,39642851,0,America/Los Angeles
221,Yorba Linda,Orange County,CA,California,City,33.88863,-117.81311,657,67973,21912,117855,50008147,1435912,America/Los Angeles
222,Yuba City,Sutter County,CA,California,City,39.14045,-121.61691,530,66941,21859,50649,38657275,201005,America/Los Angeles
223,Yucaipa,San Bernardino County,CA,California,City,34.03363,-117.04309,909,53328,18198,56452,73532054,0,America/Los Angeles
224,Arvada,Jefferson County/Adams County,CO,Colorado,City,39.83373,-105.15031,303,115368,44615,69938,100047257,1882996,America/Denver
225,Aurora,Adams County/Douglas County/Arapahoe County,CO,Colorado,City,39.688,-104.68974,303,359407,124031,53011,397624166,1731418,America/Denver
226,Boulder,Boulder County,CO,Colorado,City,40.01499,-105.27055,303,107349,42165,58484,64333756,2612601,America/Denver
227,Broomfield,Broomfield County,CO,Colorado,City,39.92054,-105.08665,303,65065,23531,81898,85478497,1411781,America/Denver
228,Castle Rock,Douglas County,CO,Colorado,Town,39.37221,-104.85609,303,55591,18721,88294,88307900,0,America/Denver
229,Centennial,Arapahoe County,CO,Colorado,City,39.57916,-104.87692,303,109741,38991,91941,76525641,381964,America/Denver
